Threshold,Precision,Recall,F1_Score,Total_Cost,Captured_Churners,Missed_Churners
0.185,0.4878048780487805,0.7862407862407862,0.6020696142991533,135800.0,320,87
0.19,0.496875,0.7813267813267813,0.6074498567335244,136900.0,318,89
0.195,0.5063897763578274,0.7788697788697788,0.6137463697967086,137150.0,317,90
0.19999999999999996,0.5155482815057283,0.773955773955774,0.618860510805501,138300.0,315,92
0.20499999999999996,0.5287162162162162,0.769041769041769,0.6266266266266266,139250.0,313,94
0.20999999999999996,0.5320623916811091,0.7542997542997543,0.6239837398373984,144200.0,307,100
0.21499999999999997,0.5361552028218695,0.7469287469287469,0.6242299794661191,146550.0,304,103
0.21999999999999997,0.543010752688172,0.7444717444717445,0.627979274611399,147050.0,303,104
0.22499999999999998,0.551094890510949,0.742014742014742,0.6324607329842932,147500.0,302,105
0.22999999999999998,0.5613382899628253,0.742014742014742,0.6391534391534391,147000.0,302,105
0.235,0.5633270321361059,0.7321867321867321,0.6367521367521367,150350.0,298,109
0.24,0.5664739884393064,0.7223587223587223,0.6349892008639308,153650.0,294,113
0.245,0.5739644970414202,0.714987714987715,0.6367614879649891,155900.0,291,116
0.24999999999999994,0.5791583166332666,0.7100737100737101,0.6379690949227373,157400.0,289,118
0.25499999999999995,0.5865580448065173,0.7076167076167076,0.6414253897550112,157950.0,288,119
0.25999999999999995,0.5905349794238683,0.7051597051597052,0.6427771556550952,158650.0,287,120
0.26499999999999996,0.5962343096234309,0.7002457002457002,0.6440677966101694,160150.0,285,122
0.26999999999999996,0.6016949152542372,0.6977886977886978,0.646188850967008,160800.0,284,123
0.27499999999999997,0.6004273504273504,0.6904176904176904,0.6422857142857142,163450.0,281,126
0.27999999999999997,0.6065934065934065,0.6781326781326781,0.6403712296983759,167550.0,276,131
0.285,0.6124721603563474,0.6756756756756757,0.6425233644859814,168200.0,275,132
0.29,0.6167800453514739,0.6683046683046683,0.6415094339622641,170650.0,272,135
0.295,0.6164383561643836,0.6633906633906634,0.6390532544378699,172400.0,270,137
0.3,0.6157407407407407,0.6535626535626535,0.634088200238379,175900.0,266,141
0.30499999999999994,0.6229508196721312,0.6535626535626535,0.6378896882494005,175650.0,266,141
0.30999999999999994,0.6288416075650118,0.6535626535626535,0.6409638554216868,175450.0,266,141
0.31499999999999995,0.631578947368421,0.6486486486486487,0.64,177100.0,264,143
0.31999999999999995,0.6390243902439025,0.6437346437346437,0.6413708690330477,178600.0,262,145
0.32499999999999996,0.6442786069651741,0.6363636363636364,0.6402966625463535,181050.0,259,148
0.32999999999999996,0.648989898989899,0.6314496314496314,0.6400996264009963,182650.0,257,150
0.33499999999999996,0.6506329113924051,0.6314496314496314,0.6408977556109726,182600.0,257,150
0.33999999999999997,0.6547314578005116,0.628992628992629,0.6416040100250626,183350.0,256,151
0.3449999999999999,0.6649214659685864,0.6240786240786241,0.6438529784537389,184800.0,254,153
0.3499999999999999,0.6657894736842105,0.6216216216216216,0.6429479034307497,185650.0,253,154
0.3549999999999999,0.6648648648648648,0.6044226044226044,0.6332046332046332,191800.0,246,161
